title;;url;;author;;date;;tags
Education Policy Initiative Director Chelsea Coffin’s testimony at the Public Hearing on Bill 22-776, District of Columbia Education Research Advisory Board and Collaborative Establishment Amendment Act of 2018;;https://www.dcpolicycenter.org/publications/education-policy-initiative-director-chelsea-coffins-testimony-public-hearing-bill-22-776-district-columbia-education-research-advisory-board-collaborative-establishment-ame/;;Chelsea Coffin;;July 13, 2018;;Education,  Education Policy Initiative,  Testimony 
The Great Sort: Part II;;https://www.dcpolicycenter.org/publications/the-great-sort-part-ii/;;David Rusk;;July 11, 2018;;Articles,  D.C. History,  Demographics 
Speed cameras in D.C.;;https://www.dcpolicycenter.org/publications/speed-cameras-in-d-c/;;Simone Roy;;June 28, 2018;;Articles,  Public Safety,  Transportation 
Predominately black neighborhoods in D.C. bear the brunt of automated traffic enforcement;;https://www.dcpolicycenter.org/publications/predominately-black-neighborhoods-in-d-c-bear-the-brunt-of-automated-traffic-enforcement/;;William Farrell;;June 28, 2018;;Articles,  Demographics,  Public Safety,  Transportation 
The Great Sort: Part I;;https://www.dcpolicycenter.org/publications/the-great-sort-part-i/;;David Rusk;;June 26, 2018;;Articles,  D.C. History,  Demographics 
A portrait of D.C.’s older adults;;https://www.dcpolicycenter.org/publications/a-portrait-of-d-c-s-older-adults/;;Ellen Squires;;June 22, 2018;;Articles,  Demographics 
Primer on research-practice partnerships;;https://www.dcpolicycenter.org/publications/primer-on-research-practice-partnerships/;;D.C. Policy Center;;June 18, 2018;;Articles,  Education,  Education Policy Initiative 
The carbon tax is not a freebie;;https://www.dcpolicycenter.org/publications/carbon-tax-impacts/;;Yesim Sayin Taylor;;June 18, 2018;;Articles,  Business Conditions,  Economy,  Environment,  Taxes 
D.C. needs research for school improvement and audit for oversight, but not from the same source;;https://www.dcpolicycenter.org/publications/d-c-needs-both-research-for-school-improvement-and-audit-for-oversight-but-not-from-the-same-source/;;Steven Glazerman & D.C. Policy Center;;June 13, 2018;;Articles,  Education,  Education Policy Initiative 
D.C.’s Startup Scene;;https://www.dcpolicycenter.org/publications/d-c-s-start-up-scene/;;Shirin Arslan;;June 1, 2018;;Articles,  Business Conditions,  Workforce and the Labor Market 
Reducing barriers for job-seekers;;https://www.dcpolicycenter.org/publications/reducing-barriers-for-job-seekers-in-d-c-and-the-metro-region/;;Bruce Ormond Grant;;May 23, 2018;;Articles,  Poverty and Income Inequality,  Workforce and the Labor Market 
District’s tax policy is moving away from first principles;;https://www.dcpolicycenter.org/publications/tax-policy-first-principles/;;Yesim Sayin Taylor;;May 21, 2018;;Articles,  Budget,  Taxes 
FIRST TAKE: Don’t Decouple D.C. from the Federal Estate Tax;;https://www.dcpolicycenter.org/publications/first-take-dont-decouple-d-c-from-the-federal-estate-tax/;;David Brunori;;May 17, 2018;;Articles,  Business Conditions,  First Take,  Taxes 
Education Policy Initiative Director Chelsea Coffin’s testimony at the Public Oversight Roundtable on the Future of School Reform in the District of Columbia;;https://www.dcpolicycenter.org/publications/testimony-at-the-public-oversight-roundtable-on-the-future-of-school-reform/;;Chelsea Coffin;;May 16, 2018;;Education,  Education Policy Initiative,  Testimony 
FIRST TAKE: Targeted property taxes are not sound policy choices;;https://www.dcpolicycenter.org/publications/first-take-targeted-property-taxes-are-not-sound-policy-choices/;;David Brunori;;May 16, 2018;;Articles,  Budget,  Business Conditions,  First Take,  Taxes 
Where telework is headed, and what it could mean for D.C.;;https://www.dcpolicycenter.org/publications/where-telework-is-headed-and-what-it-could-mean-for-d-c/;;Mike Maciag;;May 15, 2018;;Articles,  Business Conditions 
Public charter schools in the neighborhood;;https://www.dcpolicycenter.org/publications/public-charter-schools-in-the-neighborhood/;;Chelsea Coffin;;May 3, 2018;;Articles,  Education,  Education Policy Initiative 
The Case for the Georgetown-Rosslyn Gondola;;https://www.dcpolicycenter.org/publications/the-case-for-the-georgetown-rosslyn-gondola/;;Guest Contributor;;May 2, 2018;;Articles,  Transportation 
How the D.C. region is responding to the opioid crisis;;https://www.dcpolicycenter.org/publications/how-the-d-c-region-is-responding-to-the-opioid-crisis/;;Matthew Pembleton & Kathryn Zickuhr;;April 30, 2018;;Health,  Public Safety,  Reports 
Could gondolas and water taxis improve intraregional transportation?;;https://www.dcpolicycenter.org/publications/could-gondolas-and-water-taxis-improve-intraregional-transportation/;;Alon Levy;;April 26, 2018;;Articles,  Transportation 
Schools in the Neighborhood: Exploring the Data;;https://www.dcpolicycenter.org/publications/schools-in-the-neighborhood-exploring-the-data/;;Chelsea Coffin & Simone Roy;;April 19, 2018;;Articles,  Education,  Education Policy Initiative 
Schools in the Neighborhood: Full Report;;https://www.dcpolicycenter.org/publications/schools-in-the-neighborhood/;;Chelsea Coffin;;April 17, 2018;;Education,  Education Policy Initiative,  Reports 
Can Neighborhood Characteristics Explain Enrollment at In-Boundary Schools?;;https://www.dcpolicycenter.org/publications/schools-in-the-neighborhood-summary/;;Chelsea Coffin;;April 17, 2018;;Articles,  Education,  Education Policy Initiative 
Taking Stock of the District’s Housing Stock: The Full Report;;https://www.dcpolicycenter.org/publications/taking-stock-full-report/;;Yesim Sayin Taylor;;March 27, 2018;;Demographics,  Housing,  Reports 
Taking Stock of the District’s Housing Stock: Capacity, Affordability, and Pressures on Family Housing;;https://www.dcpolicycenter.org/publications/taking-stock/;;Yesim Sayin Taylor;;March 27, 2018;;Articles,  Demographics,  Housing 
Is maglev right for D.C.?;;https://www.dcpolicycenter.org/publications/is-maglev-right-for-d-c/;;Alon Levy;;March 22, 2018;;Articles,  Transportation 
Testimony from Executive Director Yesim Sayin Taylor on the Comprehensive Plan Amendment Act of 2018;;https://www.dcpolicycenter.org/publications/testimony-from-executive-director-yesim-sayin-taylor-on-the-comprehensive-plan-amendment-act-of-2018/;;D.C. Policy Center;;March 20, 2018;;Housing,  Testimony 
D.C. Government just released a list of (nearly) all of its data;;https://www.dcpolicycenter.org/publications/dc-government-enterprise-dataset-inventory-release/;;Kate Rabinowitz;;March 15, 2018;;Articles,  Data,  DataLensDC 
How military employment in D.C. has changed over time;;https://www.dcpolicycenter.org/publications/how-military-employment-in-dc-has-changed-over-time/;;Mike Maciag;;March 12, 2018;;Articles,  Workforce and the Labor Market 
The knowns and unknowns of Airbnb in D.C.;;https://www.dcpolicycenter.org/publications/the-knowns-and-unknowns-of-airbnb-in-d-c/;;Kate Rabinowitz;;March 1, 2018;;Articles,  Business Conditions,  DataLensDC,  Housing 
Characteristics of neighborhoods with high in-boundary school enrollment;;https://www.dcpolicycenter.org/publications/characteristics-neighborhoods-high-boundary-school-enrollment/;;Chelsea Coffin & Simone Roy;;February 27, 2018;;Articles,  Education,  Education Policy Initiative 
How to build bus lanes and bike lanes—faster;;https://www.dcpolicycenter.org/publications/bus-lanes-bike-lanes-bureacracy/;;Canaan Merchant;;February 20, 2018;;Articles,  Transportation 
The loss of DC TAG could disrupt college attendance among the children of low-income families;;https://www.dcpolicycenter.org/publications/loss-dc-tag-disrupt-college-attendance-among-children-low-income-families/;;Yesim Sayin Taylor;;February 14, 2018;;Articles,  Education 
Confronting the opioid—and fentanyl—crisis in the District;;https://www.dcpolicycenter.org/publications/confronting-opioid-and-fentanyl-crisis/;;Matthew Pembleton;;February 8, 2018;;Articles,  Health,  Public Safety 
Metrorail is no longer the second-busiest rapid transit system in the country;;https://www.dcpolicycenter.org/publications/metrorail-is-no-longer-the-second-busiest-rapid-transit-system-in-the-country/;;D.W. Rowlands;;February 7, 2018;;Articles,  Transportation 
Sexual assaults in D.C.: What the data can (and can’t) tell us;;https://www.dcpolicycenter.org/publications/sexual-assaults-d-c-data-can-cant-tell-us/;;Shirin Arslan;;January 31, 2018;;Articles,  Data,  Public Safety 
Banning suspensions is a blunt tool to reduce exclusionary discipline [Updated];;https://www.dcpolicycenter.org/publications/banning-suspensions-blunt-tool-reduce-exclusionary-discipline/;;Chelsea Coffin & Kathryn Zickuhr;;January 30, 2018;;Education,  Education Policy Initiative,  Reports 
Proposed Partial Suspension Ban Requires Shift in Mindsets;;https://www.dcpolicycenter.org/publications/proposed-partial-suspension-ban-requires-complete-shift-in-mindsets/;;Joshua Ddamulira;;January 25, 2018;;Articles,  Education,  Education Policy Initiative 
Making room for Millennial families;;https://www.dcpolicycenter.org/publications/making-room-millennial-families/;;Becky Strauss;;January 24, 2018;;Articles,  Demographics,  Housing 
The federal tax law changes will increase District revenue, but this is no “windfall”;;https://www.dcpolicycenter.org/publications/federal-tax-bill-will-increase-district-revenue-no-windfall/;;Yesim Sayin Taylor;;January 17, 2018;;Articles,  Budget,  Taxes 
Improving bus service east of the Anacostia River;;https://www.dcpolicycenter.org/publications/improving-bus-service-east-anacostia-river/;;Alon Levy;;January 4, 2018;;Articles,  Transportation 
What type of CTO does D.C. need?;;https://www.dcpolicycenter.org/publications/type-cto-dc-need/;;Michael Watson;;December 21, 2017;;Articles,  Business Conditions,  Data 
2017 State of Business in the District of Columbia: Twenty years of change since the Revitalization Act;;https://www.dcpolicycenter.org/publications/2017-state-of-business/;;D.C. Policy Center;;December 19, 2017;;Business Conditions,  Reports 
Twenty years after the Revitalization Act, the District of Columbia is a different city;;https://www.dcpolicycenter.org/publications/twenty-years-revitalization-act-district-columbia-different-city/;;Yesim Sayin Taylor;;December 19, 2017;;Articles,  Business Conditions,  D.C. History,  Demographics,  Taxes 
The most underrepresented industries in D.C.’s economy;;https://www.dcpolicycenter.org/publications/underrepresented-industries-dc/;;Mike Maciag;;December 13, 2017;;Articles,  Business Conditions,  Workforce and the Labor Market 
FIRST TAKE: The SALT deduction is a good thing—for rich folks;;https://www.dcpolicycenter.org/publications/first-take-salt-deduction-good-thing-rich-folks/;;David Brunori;;December 7, 2017;;Articles,  First Take,  Taxes 
Elimination of SALT deduction is trouble for DC’s future population growth;;https://www.dcpolicycenter.org/publications/elimination-salt-deduction-trouble-dcs-future-population-growth/;;Yesim Sayin Taylor;;December 7, 2017;;Articles,  Demographics,  Taxes 
How fertility rates in D.C. have changed over the past decade;;https://www.dcpolicycenter.org/publications/how-fertility-rates-in-d-c-have-changed-over-the-past-decade/;;Randy Smith;;December 1, 2017;;Articles,  Demographics,  Health 
How many people commute between Baltimore and D.C.?;;https://www.dcpolicycenter.org/publications/how-many-people-commute-between-baltimore-and-d-c/;;Simone Roy;;November 20, 2017;;Articles,  Transportation 
Is D.C. on pace to meet its graduation rate targets?;;https://www.dcpolicycenter.org/publications/d-c-graduation-rate-targets/;;Chelsea Coffin;;November 10, 2017;;Articles,  Education 
Sales Tax Holiday—Great Politics, Poor Policy;;https://www.dcpolicycenter.org/publications/sales-tax-holidays-great-politics-poor-policy/;;David Brunori;;November 2, 2017;;Articles,  Business Conditions,  First Take,  Taxes 
Equitable bike share systems: Removing barriers to access;;https://www.dcpolicycenter.org/publications/equitable-bike-share-systems-removing-barriers-access/;;Alon Levy;;November 1, 2017;;Articles,  Transportation 
Where it’s easiest to live car-free in D.C.;;https://www.dcpolicycenter.org/publications/easiest-live-car-free-d-c/;;Randy Smith;;October 31, 2017;;Articles,  Demographics,  Transportation 
Needs Assessment of Out-of-School Time Programs in the District of Columbia;;https://www.dcpolicycenter.org/publications/needs-assessment-school-time-programs-district-columbia/;;Yesim Sayin Taylor & Kathryn Zickuhr;;October 24, 2017;;Education,  Reports 
Out-of-school Time programs in D.C.: Mismatches in capacity and need;;https://www.dcpolicycenter.org/publications/ost-programs-in-dc/;;Yesim Sayin Taylor & Kathryn Zickuhr;;October 24, 2017;;Articles,  Demographics,  Education 
Making D.C. a Fashion Hub: A Pattern for Success;;https://www.dcpolicycenter.org/publications/making-dc-a-fashion-hub/;;Hilary Jochmans;;October 19, 2017;;Articles,  Business Conditions 
Economic segregation is replacing racial segregation in large U.S. metro areas;;https://www.dcpolicycenter.org/publications/economic-polarization/;;David Rusk;;October 12, 2017;;Articles,  Demographics,  Poverty and Income Inequality 
Four ways to build a better bus system;;https://www.dcpolicycenter.org/publications/four-ways-to-build-a-better-bus-system/;;Alon Levy;;September 29, 2017;;Articles,  Transportation 
Who has the longest commute in the D.C. area?;;https://www.dcpolicycenter.org/publications/who-has-the-longest-commute-in-the-d-c-area/;;Simone Roy;;September 27, 2017;;Articles,  Transportation 
Hispanic Segregation – Immigrant Ponding or Perpetual Barrios?;;https://www.dcpolicycenter.org/publications/hispanic-segregation-immigrant-ponding-perpetual-barrios/;;David Rusk;;September 21, 2017;;Articles,  Demographics,  Urban Development 
D.C. police staffing has declined, but service demands haven’t subsided;;https://www.dcpolicycenter.org/publications/d-c-police-staffing-declined-service-demands-havent-subsided/;;Mike Maciag;;September 14, 2017;;Articles,  Public Safety 
Planning for self-driving cars with Harriet Tregoning;;https://www.dcpolicycenter.org/publications/harriet-tregoning-interview-self-driving-cars/;;Will Leimenstoll;;September 6, 2017;;Articles,  Transportation 
FIRST TAKE: Metro funding is about commitment, not fairness;;https://www.dcpolicycenter.org/publications/metro_commitment/;;David Brunori;;September 1, 2017;;Articles,  First Take,  Taxes,  Transportation 
Diving into D.C.’s data policy;;https://www.dcpolicycenter.org/publications/diving-into-dc-data-policy/;;Michael Watson;;August 31, 2017;;Articles,  Data 
Greenhouse gas emissions in D.C. [Updated];;https://www.dcpolicycenter.org/publications/building-greenhouse-carbon-emissions/;;Randy Smith;;August 23, 2017;;Articles,  Environment 
Suburbia: The Promised Land?;;https://www.dcpolicycenter.org/publications/suburbia-promised-land/;;David Rusk;;August 16, 2017;;Articles,  D.C. History,  Demographics 
D.C. nightlife is booming, but not necessarily for much longer;;https://www.dcpolicycenter.org/publications/d-c-nightlife-churn/;;Kate Rabinowitz;;August 14, 2017;;Articles,  Business Conditions,  DataLensDC 
D.C.’s heat islands;;https://www.dcpolicycenter.org/publications/urban-heat-islands/;;Randy Smith;;August 8, 2017;;Articles,  Environment,  Health 
Do “Complete Streets” lead to more enjoyable, greener, and safer streets too?;;https://www.dcpolicycenter.org/publications/complete-streets-impact/;;Will Leimenstoll;;August 4, 2017;;Articles,  Environment,  Transportation 
As D.C. nightlife grows, it’s becoming more of a bar town;;https://www.dcpolicycenter.org/publications/d-c-nightlife-grows-becoming-bar-town/;;Kate Rabinowitz;;July 26, 2017;;Articles,  Business Conditions,  Data,  DataLensDC 
Goodbye to Chocolate City;;https://www.dcpolicycenter.org/publications/goodbye-to-chocolate-city/;;David Rusk;;July 20, 2017;;Articles,  D.C. History,  Demographics 
FIRST TAKE – Funding Metro? Let the Market Help;;https://www.dcpolicycenter.org/publications/funding-metro-let-the-market-help/;;David Brunori;;July 14, 2017;;Articles,  First Take,  Transportation 
Physical activity and gym access by neighborhood in D.C.;;https://www.dcpolicycenter.org/publications/gym-deserts/;;Randy Smith;;July 7, 2017;;Articles,  Demographics,  Health,  Poverty and Income Inequality 
Mapping D.C.’s nightlife boom;;https://www.dcpolicycenter.org/publications/d-c-nightlife-booming/;;Kate Rabinowitz;;June 29, 2017;;Articles,  Data,  DataLensDC 
D.C. is better at nabbing murderers than a generation ago;;https://www.dcpolicycenter.org/publications/dc-above-average-murder-clearance-rate/;;Becky Strauss;;June 25, 2017;;Articles,  Public Safety 
Four ways to engage with employers in workforce development;;https://www.dcpolicycenter.org/publications/four-ways-to-engage-with-employers-in-workforce-development/;;Brian Holland;;June 23, 2017;;Articles,  Workforce and the Labor Market 
Migration to D.C. remains stable, but plummets for rest of region;;https://www.dcpolicycenter.org/publications/migration-to-d-c-remains-stable-but-plummets-for-region/;;Mike Maciag;;June 20, 2017;;Articles,  Demographics 
Once Upon A Time In NoMa: Part II;;https://www.dcpolicycenter.org/publications/upon-time-noma-part-ii/;;David Rusk;;June 14, 2017;;Articles,  D.C. History,  Demographics,  Urban Development 
The President’s proposed budget could increase air pollution and congestion in the District;;https://www.dcpolicycenter.org/publications/cmaq-air-quality-and-congestion-dc/;;Richard Ezike;;June 13, 2017;;Articles,  Environment,  Transportation 
A timeline of LGBT places and spaces in D.C.;;https://www.dcpolicycenter.org/publications/history-d-c-prides-places-spaces/;;Kate Rabinowitz;;June 8, 2017;;Articles,  D.C. History,  DataLensDC 
Autonomous vehicles could have a big impact on D.C.’s budget;;https://www.dcpolicycenter.org/publications/autonomous-vehicles-could-have-a-big-impact-on-d-c-s-budget/;;Will Leimenstoll;;June 7, 2017;;Articles,  Taxes,  Transportation 
The demographics of walking and biking to work tell yet another story of gentrification;;https://www.dcpolicycenter.org/publications/the-demographics-of-walking-and-biking-to-work/;;Yesim Sayin Taylor;;June 6, 2017;;Articles,  Demographics,  Transportation,  Workforce and the Labor Market 
Once Upon A Time In NoMa;;https://www.dcpolicycenter.org/publications/once-upon-time-noma/;;David Rusk;;June 5, 2017;;Articles,  D.C. History,  Demographics,  Urban Development 
Perusing D.C.’s small stock of multi-bedroom rentals;;https://www.dcpolicycenter.org/publications/perusing-d-c-s-small-stock-multi-bedroom-rentals/;;Ben Werner;;June 2, 2017;;Articles,  Housing 
Thermometer of City Health: Count Households, Not Noses;;https://www.dcpolicycenter.org/publications/households-not-noses/;;David Rusk;;May 30, 2017;;Articles,  Demographics 
FIRST TAKE—Stay the course on business tax reform;;https://www.dcpolicycenter.org/publications/stay-course-business-tax-reform/;;David Brunori;;May 29, 2017;;Articles,  Business Conditions,  First Take,  Taxes 
Implementing the NEAR Act to reduce violence in D.C.;;https://www.dcpolicycenter.org/publications/implementing-near-act-reduce-violence-d-c/;;Brent J. Cohen;;May 25, 2017;;Articles,  Public Safety 
Four principles to guide child care policy in D.C.;;https://www.dcpolicycenter.org/publications/four-principles-to-guide-child-care-policy-in-d-c/;;Kathryn Zickuhr;;May 24, 2017;;Education,  Reports 
From employment to “employability”: A new way to look at workforce development;;https://www.dcpolicycenter.org/publications/from-employment-to-employability-a-new-way-to-look-at-workforce-development/;;Brian Holland;;May 23, 2017;;Articles,  Workforce and the Labor Market 
FIRST TAKE – The Estate Tax Doesn’t Work. Don’t make it worse.;;https://www.dcpolicycenter.org/publications/estate_tax_doesnt_work/;;David Brunori;;May 19, 2017;;Articles,  Business Conditions,  First Take,  Taxes 
Pushing through complacency to fight health disparities in D.C.’s African American communities;;https://www.dcpolicycenter.org/publications/health-disparities-in-d-c-s-african-american-communities/;;Tiffany E. Browne;;May 18, 2017;;Articles,  Demographics,  Health,  Poverty and Income Inequality,  Racial Equity 
Prince George’s County a Popular Home for Many Former D.C. Residents;;https://www.dcpolicycenter.org/publications/dc-metro-region-migration-prince-georges-county-popular-destination/;;Kate Rabinowitz;;May 11, 2017;;Articles,  DataLensDC,  Demographics 
FIRST TAKE – Virginia Really Should Pay More for Metro;;https://www.dcpolicycenter.org/publications/regional-sales-tax-metro/;;David Brunori;;May 10, 2017;;Articles,  First Take,  Transportation 
How should we measure D.C.’s “child care gap”?;;https://www.dcpolicycenter.org/publications/measuring-dc-child-care-gap1/;;Kathryn Zickuhr;;May 9, 2017;;Demographics,  Education,  Reports 
Where, When, and Why: A Guide to Burglaries in 2016;;https://www.dcpolicycenter.org/publications/dc-burglaries-in-2016/;;Randy Smith;;May 5, 2017;;Articles,  Public Safety 
D.C. could roll back the coming Metrorail fare increase for residents at a relatively low cost;;https://www.dcpolicycenter.org/publications/dc-roll-back-coming-metrorail-fare/;;D.W. Rowlands;;May 3, 2017;;Articles,  Transportation 
The health wealth gap in D.C.;;https://www.dcpolicycenter.org/publications/health-wealth-gap-d-c/;;Kate Rabinowitz;;May 2, 2017;;Articles,  DataLensDC,  Health 
From Pilot Small’s to Washington Dulles: Measuring Urban Sprawl;;https://www.dcpolicycenter.org/publications/urban-sprawl/;;David Rusk;;April 27, 2017;;Articles,  Demographics 
FIRST TAKE—Metro needs money. Who is going to pay?;;https://www.dcpolicycenter.org/publications/metro-needs-money/;;David Brunori;;April 26, 2017;;Articles,  Business Conditions,  First Take,  Taxes,  Transportation 
The compelling, autonomous case for an end to D.C.’s parking minimum requirements;;https://www.dcpolicycenter.org/publications/autonomous-vehicles-and-dc-parking-minimums/;;Will Leimenstoll;;April 25, 2017;;Articles,  Transportation 
How distance to the White House is related to D.C.’s economic environment;;https://www.dcpolicycenter.org/publications/distance-white-house-related-d-c-s-economic-environment/;;Grant Gregory;;April 21, 2017;;Articles,  Demographics,  Transportation 
Metrorail changes mean even shorter hours than other transit systems;;https://www.dcpolicycenter.org/publications/metrorail-hour-reductions-compared-with-other-cities-rapid-transit-systems/;;D.W. Rowlands;;April 19, 2017;;Articles,  Transportation 
Money for nothing: D.C. businesses pay a technology fee but get very little in return;;https://www.dcpolicycenter.org/publications/technology-fee/;;David Bishop;;April 17, 2017;;Articles,  Budget,  Business Conditions 
Threading the needle between housing costs and school value;;https://www.dcpolicycenter.org/publications/threading-the-needle-between-housing-costs-and-school-value/;;Ben Werner;;April 13, 2017;;Articles,  Housing 
D.C. leads in anti-poverty policies;;https://www.dcpolicycenter.org/publications/d-c-leads-in-anti-poverty-policies/;;Becky Strauss;;April 10, 2017;;Articles,  Housing,  Poverty and Income Inequality 
