title		url		author		date		tags
Proposed Partial Suspension Ban Requires Shift in Mindsets		https://www.dcpolicycenter.org/publications/proposed-partial-suspension-ban-requires-complete-shift-in-mindsets/		Joshua Ddamulira		25-Jan-18		"Articles,  Education,  Education Policy Initiative "
Making room for Millennial families		https://www.dcpolicycenter.org/publications/making-room-millennial-families/		Becky Strauss		24-Jan-18		"Articles,  Demographics,  Housing "
"The federal tax law changes will increase District revenue, but this is no “windfall”"		https://www.dcpolicycenter.org/publications/federal-tax-bill-will-increase-district-revenue-no-windfall/		Yesim Sayin Taylor		17-Jan-18		"Articles,  Budget,  Taxes "
Improving bus service east of the Anacostia River		https://www.dcpolicycenter.org/publications/improving-bus-service-east-anacostia-river/		Alon Levy		4-Jan-18		"Articles,  Transportation "
What type of CTO does D.C. need?		https://www.dcpolicycenter.org/publications/type-cto-dc-need/		Michael Watson		21-Dec-17		"Articles,  Business Conditions,  Data "
"Twenty years after the Revitalization Act, the District of Columbia is a different city"		https://www.dcpolicycenter.org/publications/twenty-years-revitalization-act-district-columbia-different-city/		Yesim Sayin Taylor		19-Dec-17		"Articles,  Business Conditions,  D.C. History,  Demographics,  Taxes "
2017 State of Business in the District of Columbia: Twenty years of change since the Revitalization Act		https://www.dcpolicycenter.org/publications/2017-state-of-business/		D.C. Policy Center		19-Dec-17		"Business Conditions,  Reports "
The most underrepresented industries in D.C.’s economy		https://www.dcpolicycenter.org/publications/underrepresented-industries-dc/		Mike Maciag		13-Dec-17		"Articles,  Business Conditions,  Workforce and the Labor Market "
FIRST TAKE: The SALT deduction is a good thing—for rich folks		https://www.dcpolicycenter.org/publications/first-take-salt-deduction-good-thing-rich-folks/		David Brunori		7-Dec-17		"Articles,  First Take,  Taxes "
Elimination of SALT deduction is trouble for DC’s future population growth		https://www.dcpolicycenter.org/publications/elimination-salt-deduction-trouble-dcs-future-population-growth/		Yesim Sayin Taylor		7-Dec-17		"Articles,  Demographics,  Taxes "
How fertility rates in D.C. have changed over the past decade		https://www.dcpolicycenter.org/publications/how-fertility-rates-in-d-c-have-changed-over-the-past-decade/		Randy Smith		1-Dec-17		"Articles,  Demographics,  Health "
How many people commute between Baltimore and D.C.?		https://www.dcpolicycenter.org/publications/how-many-people-commute-between-baltimore-and-d-c/		Simone Roy		20-Nov-17		"Articles,  Transportation "
Is D.C. on pace to meet its graduation rate targets?		https://www.dcpolicycenter.org/publications/d-c-graduation-rate-targets/		Chelsea Coffin		10-Nov-17		"Articles,  Education "
"Sales Tax Holiday—Great Politics, Poor Policy"		https://www.dcpolicycenter.org/publications/sales-tax-holidays-great-politics-poor-policy/		David Brunori		2-Nov-17		"Articles,  Business Conditions,  First Take,  Taxes "
Equitable bike share systems: Removing barriers to access		https://www.dcpolicycenter.org/publications/equitable-bike-share-systems-removing-barriers-access/		Alon Levy		1-Nov-17		"Articles,  Transportation "
Where it’s easiest to live car-free in D.C.		https://www.dcpolicycenter.org/publications/easiest-live-car-free-d-c/		Randy Smith		31-Oct-17		"Articles,  Demographics,  Transportation "
Needs Assessment of Out-of-School Time Programs in the District of Columbia		https://www.dcpolicycenter.org/publications/needs-assessment-school-time-programs-district-columbia/		Yesim Sayin Taylor & Kathryn Zickuhr		24-Oct-17		"Education,  Reports "
Out-of-school Time programs in D.C.: Mismatches in capacity and need		https://www.dcpolicycenter.org/publications/ost-programs-in-dc/		Yesim Sayin Taylor & Kathryn Zickuhr		24-Oct-17		"Articles,  Demographics,  Education "
Making D.C. a Fashion Hub: A Pattern for Success		https://www.dcpolicycenter.org/publications/making-dc-a-fashion-hub/		Hilary Jochmans		19-Oct-17		"Articles,  Business Conditions "
Economic segregation is replacing racial segregation in large U.S. metro areas		https://www.dcpolicycenter.org/publications/economic-polarization/		David Rusk		12-Oct-17		"Articles,  Demographics,  Poverty and Income Inequality "
Four ways to build a better bus system		https://www.dcpolicycenter.org/publications/four-ways-to-build-a-better-bus-system/		Alon Levy		29-Sep-17		"Articles,  Transportation "
Who has the longest commute in the D.C. area?		https://www.dcpolicycenter.org/publications/who-has-the-longest-commute-in-the-d-c-area/		Simone Roy		27-Sep-17		"Articles,  Transportation "
Hispanic Segregation – Immigrant Ponding or Perpetual Barrios?		https://www.dcpolicycenter.org/publications/hispanic-segregation-immigrant-ponding-perpetual-barrios/		David Rusk		21-Sep-17		"Articles,  Demographics,  Urban Development "
"D.C. police staffing has declined, but service demands haven’t subsided"		https://www.dcpolicycenter.org/publications/d-c-police-staffing-declined-service-demands-havent-subsided/		Mike Maciag		14-Sep-17		"Articles,  Public Safety "
Planning for self-driving cars with Harriet Tregoning		https://www.dcpolicycenter.org/publications/harriet-tregoning-interview-self-driving-cars/		Will Leimenstoll		6-Sep-17		"Articles,  Transportation "
"FIRST TAKE: Metro funding is about commitment, not fairness"		https://www.dcpolicycenter.org/publications/metro_commitment/		David Brunori		1-Sep-17		"Articles,  First Take,  Taxes,  Transportation "
Diving into D.C.’s data policy		https://www.dcpolicycenter.org/publications/diving-into-dc-data-policy/		Michael Watson		31-Aug-17		"Articles,  Data "
Greenhouse gas emissions in D.C. [Updated]		https://www.dcpolicycenter.org/publications/building-greenhouse-carbon-emissions/		Randy Smith		23-Aug-17		"Articles,  Environment "
Suburbia: The Promised Land?		https://www.dcpolicycenter.org/publications/suburbia-promised-land/		David Rusk		16-Aug-17		"Articles,  D.C. History,  Demographics "
"D.C. nightlife is booming, but not necessarily for much longer"		https://www.dcpolicycenter.org/publications/d-c-nightlife-churn/		Kate Rabinowitz		14-Aug-17		"Articles,  Business Conditions,  DataLensDC "
D.C.’s heat islands		https://www.dcpolicycenter.org/publications/urban-heat-islands/		Randy Smith		8-Aug-17		"Articles,  Environment,  Health "
"Do “Complete Streets” lead to more enjoyable, greener, and safer streets too?"		https://www.dcpolicycenter.org/publications/complete-streets-impact/		Will Leimenstoll		4-Aug-17		"Articles,  Environment,  Transportation "
"As D.C. nightlife grows, it’s becoming more of a bar town"		https://www.dcpolicycenter.org/publications/d-c-nightlife-grows-becoming-bar-town/		Kate Rabinowitz		26-Jul-17		"Articles,  Business Conditions,  Data,  DataLensDC "
Goodbye to Chocolate City		https://www.dcpolicycenter.org/publications/goodbye-to-chocolate-city/		David Rusk		20-Jul-17		"Articles,  D.C. History,  Demographics "
FIRST TAKE – Funding Metro? Let the Market Help		https://www.dcpolicycenter.org/publications/funding-metro-let-the-market-help/		David Brunori		14-Jul-17		"Articles,  First Take,  Transportation "
Physical activity and gym access by neighborhood in D.C.		https://www.dcpolicycenter.org/publications/gym-deserts/		Randy Smith		7-Jul-17		"Articles,  Demographics,  Health,  Poverty and Income Inequality "
Mapping D.C.’s nightlife boom		https://www.dcpolicycenter.org/publications/d-c-nightlife-booming/		Kate Rabinowitz		29-Jun-17		"Articles,  Data,  DataLensDC "
D.C. is better at nabbing murderers than a generation ago		https://www.dcpolicycenter.org/publications/dc-above-average-murder-clearance-rate/		Becky Strauss		25-Jun-17		"Articles,  Public Safety "
Four ways to engage with employers in workforce development		https://www.dcpolicycenter.org/publications/four-ways-to-engage-with-employers-in-workforce-development/		Brian Holland		23-Jun-17		"Articles,  Workforce and the Labor Market "
"Migration to D.C. remains stable, but plummets for rest of region"		https://www.dcpolicycenter.org/publications/migration-to-d-c-remains-stable-but-plummets-for-region/		Mike Maciag		20-Jun-17		"Articles,  Demographics "
Once Upon A Time In NoMa: Part II		https://www.dcpolicycenter.org/publications/upon-time-noma-part-ii/		David Rusk		14-Jun-17		"Articles,  D.C. History,  Demographics,  Urban Development "
The President’s proposed budget could increase air pollution and congestion in the District		https://www.dcpolicycenter.org/publications/cmaq-air-quality-and-congestion-dc/		Richard Ezike		13-Jun-17		"Articles,  Environment,  Transportation "
A timeline of LGBT places and spaces in D.C.		https://www.dcpolicycenter.org/publications/history-d-c-prides-places-spaces/		Kate Rabinowitz		8-Jun-17		"Articles,  D.C. History,  DataLensDC "
Autonomous vehicles could have a big impact on D.C.’s budget		https://www.dcpolicycenter.org/publications/autonomous-vehicles-could-have-a-big-impact-on-d-c-s-budget/		Will Leimenstoll		7-Jun-17		"Articles,  Taxes,  Transportation "
The demographics of walking and biking to work tell yet another story of gentrification		https://www.dcpolicycenter.org/publications/the-demographics-of-walking-and-biking-to-work/		Yesim Sayin Taylor		6-Jun-17		"Articles,  Demographics,  Transportation,  Workforce and the Labor Market "
Once Upon A Time In NoMa		https://www.dcpolicycenter.org/publications/once-upon-time-noma/		David Rusk		5-Jun-17		"Articles,  D.C. History,  Demographics,  Urban Development "
Perusing D.C.’s small stock of multi-bedroom rentals		https://www.dcpolicycenter.org/publications/perusing-d-c-s-small-stock-multi-bedroom-rentals/		Ben Werner		2-Jun-17		"Articles,  Housing "
"Thermometer of City Health: Count Households, Not Noses"		https://www.dcpolicycenter.org/publications/households-not-noses/		David Rusk		30-May-17		"Articles,  Demographics "
FIRST TAKE—Stay the course on business tax reform		https://www.dcpolicycenter.org/publications/stay-course-business-tax-reform/		David Brunori		29-May-17		"Articles,  Business Conditions,  First Take,  Taxes "
Implementing the NEAR Act to reduce violence in D.C.		https://www.dcpolicycenter.org/publications/implementing-near-act-reduce-violence-d-c/		Brent J. Cohen		25-May-17		"Articles,  Public Safety "
Four principles to guide child care policy in D.C.		https://www.dcpolicycenter.org/publications/four-principles-to-guide-child-care-policy-in-d-c/		Kathryn Zickuhr		24-May-17		"Articles,  Education "
From employment to “employability”: A new way to look at workforce development		https://www.dcpolicycenter.org/publications/from-employment-to-employability-a-new-way-to-look-at-workforce-development/		Brian Holland		23-May-17		"Articles,  Workforce and the Labor Market "
FIRST TAKE – The Estate Tax Doesn’t Work. Don’t make it worse.		https://www.dcpolicycenter.org/publications/estate_tax_doesnt_work/		David Brunori		19-May-17		"Articles,  Business Conditions,  First Take,  Taxes "
Pushing through complacency to fight health disparities in D.C.’s African American communities		https://www.dcpolicycenter.org/publications/health-disparities-in-d-c-s-african-american-communities/		Tiffany E. Browne		18-May-17		"Articles,  Demographics,  Health,  Poverty and Income Inequality "
Prince George’s County a Popular Home for Many Former D.C. Residents		https://www.dcpolicycenter.org/publications/dc-metro-region-migration-prince-georges-county-popular-destination/		Kate Rabinowitz		11-May-17		"Articles,  DataLensDC,  Demographics "
FIRST TAKE – Virginia Really Should Pay More for Metro		https://www.dcpolicycenter.org/publications/regional-sales-tax-metro/		David Brunori		10-May-17		"Articles,  First Take,  Transportation "
How should we measure D.C.’s “child care gap”?		https://www.dcpolicycenter.org/publications/measuring-dc-child-care-gap1/		Kathryn Zickuhr		9-May-17		"Articles,  Demographics,  Education "
"Where, When, and Why: A Guide to Burglaries in 2016"		https://www.dcpolicycenter.org/publications/dc-burglaries-in-2016/		Randy Smith		5-May-17		"Articles,  Public Safety "
D.C. could roll back the coming Metrorail fare increase for residents at a relatively low cost		https://www.dcpolicycenter.org/publications/dc-roll-back-coming-metrorail-fare/		D.W. Rowlands		3-May-17		"Articles,  Transportation "
The health wealth gap in D.C.		https://www.dcpolicycenter.org/publications/health-wealth-gap-d-c/		Kate Rabinowitz		2-May-17		"Articles,  DataLensDC,  Health "
From Pilot Small’s to Washington Dulles: Measuring Urban Sprawl		https://www.dcpolicycenter.org/publications/urban-sprawl/		David Rusk		27-Apr-17		"Articles,  Demographics "
FIRST TAKE—Metro needs money. Who is going to pay?		https://www.dcpolicycenter.org/publications/metro-needs-money/		David Brunori		26-Apr-17		"Articles,  Business Conditions,  First Take,  Taxes,  Transportation "
"The compelling, autonomous case for an end to D.C.’s parking minimum requirements"		https://www.dcpolicycenter.org/publications/autonomous-vehicles-and-dc-parking-minimums/		Will Leimenstoll		25-Apr-17		"Articles,  Transportation "
How distance to the White House is related to D.C.’s economic environment		https://www.dcpolicycenter.org/publications/distance-white-house-related-d-c-s-economic-environment/		Grant Gregory		21-Apr-17		"Articles,  Demographics,  Transportation "
Metrorail changes mean even shorter hours than other transit systems		https://www.dcpolicycenter.org/publications/metrorail-hour-reductions-compared-with-other-cities-rapid-transit-systems/		D.W. Rowlands		19-Apr-17		"Articles,  Transportation "
Money for nothing: D.C. businesses pay a technology fee but get very little in return		https://www.dcpolicycenter.org/publications/technology-fee/		David Bishop		17-Apr-17		"Articles,  Budget,  Business Conditions "
Threading the needle between housing costs and school value		https://www.dcpolicycenter.org/publications/threading-the-needle-between-housing-costs-and-school-value/		Ben Werner		13-Apr-17		"Articles,  Housing "
D.C. leads in anti-poverty policies		https://www.dcpolicycenter.org/publications/d-c-leads-in-anti-poverty-policies/		Becky Strauss		10-Apr-17		"Articles,  Health,  Housing,  Poverty and Income Inequality "
Can fiscal risks be eliminated with more taxing and more spending?		https://www.dcpolicycenter.org/publications/fiscal-risks/		Yesim Sayin Taylor		10-Apr-17		"Articles,  Budget,  Business Conditions,  Taxes "
"FIRST TAKE—Pull the trigger, the tax cuts are working"		https://www.dcpolicycenter.org/publications/first-take-pull-trigger-tax-cuts-working/		David Brunori		5-Apr-17		"Articles,  Business Conditions,  First Take,  Taxes "
Why visualizing open data isn’t enough		https://www.dcpolicycenter.org/publications/visualizing-open-data-vision-zero-pedestrian-safety/		Kate Rabinowitz		3-Apr-17		"Articles,  Data,  DataLensDC,  Public Safety "
Who will be most affected by planned Metrobus service cuts		https://www.dcpolicycenter.org/publications/planned-2017-metrobus-cuts-wmata/		Randy Smith		28-Mar-17		"Articles,  Demographics,  Transportation "
Metro should carefully consider the costs of further off-peak service cuts		https://www.dcpolicycenter.org/publications/metro-carefully-consider-costs-off-peak-service-cuts/		D.W. Rowlands		27-Mar-17		"Articles,  Transportation "
Commute times for District residents are linked to income and method of transportation		https://www.dcpolicycenter.org/publications/commute-times-for-district-residents-are-linked-to-income-and-method-of-transportation/		Randy Smith		23-Mar-17		"Articles,  Transportation "
Income inequality and economic mobility in D.C.		https://www.dcpolicycenter.org/publications/income-inequality-and-economic-mobility-in-d-c/		Grant Gregory		21-Mar-17		"Articles,  Demographics,  Poverty and Income Inequality "
Lowering fares on MARC and VRE could increase commuter rail ridership and decrease Metrorail overcrowding		https://www.dcpolicycenter.org/publications/lowering-fares-marc-vre-increase-commuter-rail-ridership-decrease-metrorail-overcrowding/		D.W. Rowlands		16-Mar-17		"Articles,  Transportation "
Five maps that explain the Washington region’s economy		https://www.dcpolicycenter.org/publications/five-maps-explain-washington-regions-economy/		Yesim Sayin Taylor		13-Mar-17		"Articles,  Business Conditions,  Demographics,  Housing,  Workforce and the Labor Market "
Food access in D.C is deeply connected to poverty and transportation		https://www.dcpolicycenter.org/publications/food-access-d-c-deeply-connected-poverty-transportation/		Randy Smith		13-Mar-17		"Articles,  Health,  Poverty and Income Inequality,  Transportation "
"Searching for a dream home in D.C., and waking up to reality"		https://www.dcpolicycenter.org/publications/searching-dream-home-d-c-ben-werner-part-2/		Ben Werner		9-Mar-17		"Articles,  Housing "
Broadening Our Thinking on the District: The Framework for the D.C. Policy Center		https://www.dcpolicycenter.org/publications/broadening-thinking-dc-policy-center/		Yesim Sayin Taylor		8-Mar-17		"Business Conditions,  Demographics,  Housing,  Workforce and the Labor Market "
FIRST TAKE – A look at D.C. tax policy proposals		https://www.dcpolicycenter.org/publications/brunori-tax-and-budget-dc-2017/		David Brunori		2-Mar-17		"Articles,  Business Conditions,  First Take "
A decade of demographic change in D.C.: Which neighborhoods have changed the most?		https://www.dcpolicycenter.org/publications/demographic-change-d-c-neighborhoods/		Kate Rabinowitz		2-Mar-17		"Articles,  DataLensDC,  Demographics "
"WMATA plans to raise rates, but Metrorail’s fares already among highest in the country"		https://www.dcpolicycenter.org/publications/wmata-plans-raise-rates-metrorails-fares-already-among-highest-country/		D.W. Rowlands		1-Mar-17		"Articles,  Transportation "
"From South Korea to Washington, D.C: Our journey (and house-hunt) begins"		https://www.dcpolicycenter.org/publications/searching-for-a-home-in-dc-ben-werner-part-1/		Ben Werner		25-Feb-17		"Articles,  Housing "
"Where, When, and Why: A Guide to Homicides in 2016"		https://www.dcpolicycenter.org/publications/guide-homicides-2016/		Randy Smith		20-Feb-17		"Articles,  Public Safety "
