title;;url;;author;;date;;tags
Education Policy Initiative Director Chelsea Coffin’s testimony at the Public Hearing on Bill 22-776, District of Columbia Education Research Advisory Board and Collaborative Establishment Amendment Act of 2018;;https://www.dcpolicycenter.org/publications/education-policy-initiative-director-chelsea-coffins-testimony-public-hearing-bill-22-776-district-columbia-education-research-advisory-board-collaborative-establishment-ame/;;Chelsea Coffin;;July 13, 2018;;Education,  Education Policy Initiative,  Testimony 
The Great Sort: Part II;;https://www.dcpolicycenter.org/publications/the-great-sort-part-ii/;;David Rusk;;July 11, 2018;;Articles,  D.C. History,  Demographics 
Speed cameras in D.C.;;https://www.dcpolicycenter.org/publications/speed-cameras-in-d-c/;;Simone Roy;;June 28, 2018;;Articles,  Public Safety,  Transportation 
Predominately black neighborhoods in D.C. bear the brunt of automated traffic enforcement;;https://www.dcpolicycenter.org/publications/predominately-black-neighborhoods-in-d-c-bear-the-brunt-of-automated-traffic-enforcement/;;William Farrell;;June 28, 2018;;Articles,  Demographics,  Public Safety,  Transportation 
The Great Sort: Part I;;https://www.dcpolicycenter.org/publications/the-great-sort-part-i/;;David Rusk;;June 26, 2018;;Articles,  D.C. History,  Demographics 
A portrait of D.C.’s older adults;;https://www.dcpolicycenter.org/publications/a-portrait-of-d-c-s-older-adults/;;Ellen Squires;;June 22, 2018;;Articles,  Demographics 
Primer on research-practice partnerships;;https://www.dcpolicycenter.org/publications/primer-on-research-practice-partnerships/;;D.C. Policy Center;;June 18, 2018;;Articles,  Education,  Education Policy Initiative 
The carbon tax is not a freebie;;https://www.dcpolicycenter.org/publications/carbon-tax-impacts/;;Yesim Sayin Taylor;;June 18, 2018;;Articles,  Business Conditions,  Economy,  Environment,  Taxes 
D.C. needs research for school improvement and audit for oversight, but not from the same source;;https://www.dcpolicycenter.org/publications/d-c-needs-both-research-for-school-improvement-and-audit-for-oversight-but-not-from-the-same-source/;;Steven Glazerman & D.C. Policy Center;;June 13, 2018;;Articles,  Education,  Education Policy Initiative 
D.C.’s Startup Scene;;https://www.dcpolicycenter.org/publications/d-c-s-start-up-scene/;;Shirin Arslan;;June 1, 2018;;Articles,  Business Conditions,  Workforce and the Labor Market 
Reducing barriers for job-seekers;;https://www.dcpolicycenter.org/publications/reducing-barriers-for-job-seekers-in-d-c-and-the-metro-region/;;Bruce Ormond Grant;;May 23, 2018;;Articles,  Poverty and Income Inequality,  Workforce and the Labor Market 
District’s tax policy is moving away from first principles;;https://www.dcpolicycenter.org/publications/tax-policy-first-principles/;;Yesim Sayin Taylor;;May 21, 2018;;Articles,  Budget,  Taxes 
FIRST TAKE: Don’t Decouple D.C. from the Federal Estate Tax;;https://www.dcpolicycenter.org/publications/first-take-dont-decouple-d-c-from-the-federal-estate-tax/;;David Brunori;;May 17, 2018;;Articles,  Business Conditions,  First Take,  Taxes 
Education Policy Initiative Director Chelsea Coffin’s testimony at the Public Oversight Roundtable on the Future of School Reform in the District of Columbia;;https://www.dcpolicycenter.org/publications/testimony-at-the-public-oversight-roundtable-on-the-future-of-school-reform/;;Chelsea Coffin;;May 16, 2018;;Education,  Education Policy Initiative,  Testimony 
FIRST TAKE: Targeted property taxes are not sound policy choices;;https://www.dcpolicycenter.org/publications/first-take-targeted-property-taxes-are-not-sound-policy-choices/;;David Brunori;;May 16, 2018;;Articles,  Budget,  Business Conditions,  First Take,  Taxes 
Where telework is headed, and what it could mean for D.C.;;https://www.dcpolicycenter.org/publications/where-telework-is-headed-and-what-it-could-mean-for-d-c/;;Mike Maciag;;May 15, 2018;;Articles,  Business Conditions 
Public charter schools in the neighborhood;;https://www.dcpolicycenter.org/publications/public-charter-schools-in-the-neighborhood/;;Chelsea Coffin;;May 3, 2018;;Articles,  Education,  Education Policy Initiative 
