,ActNumber,Category,CommitteeReferral,CommitteeReferralComments,CouncilPeriod,Deemed,DeemedOn,DocumentUrl,Id,IntroductionDate,LawNumber,LegislationNumber,LegislationStatus,Modified,ShortTitle,Subcategory
24,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41642/B23-0051-Introduction.pdf,41642,2019-01-08,,B23-0051,Under Council Review,2019-05-17,Dual Language Immersion Accelerator Amendment Act of 2019,Permanent Bill
25,,Bill,Committee on Health,,23,,,http://lims.dccouncil.us/Download/41721/B23-0089-Introduction.pdf,41721,2019-01-22,,B23-0089,Under Council Review,2019-05-13,Health Impact Assessment Program Establishment Act of 2019,Permanent Bill
26,,Bill,Committee on Government Operations and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41629/B23-0038-Introduction.pdf,41629,2019-01-08,,B23-0038,Under Council Review,2019-05-07,Racial Equity Achieves Results Amendment Act of 2019,Permanent Bill
27,A23-0019,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41523/B23-0003-Introduction.pdf,41523,2019-01-03,L23-0004,B23-0003,Official Law,2019-05-06,Sports Wagering Lottery Clarification Temporary Amendment Act of 2019,Temporary Bill
28,A23-0009,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41712/B23-0081-Introduction.pdf,41712,2019-01-22,L23-0003,B23-0081,Official Law,2019-05-06,Federal Worker Housing Relief Temporary Act of 2019,Temporary Bill
29,A23-0008,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41606/B23-0020-Introduction.pdf,41606,2019-01-08,L23-0002,B23-0020,Official Law,2019-05-06,Rental Housing Registration Extension Temporary Amendment Act of 2019,Temporary Bill
30,A23-0007,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41614/B23-0025-Introduction.pdf,41614,2019-01-08,L23-0001,B23-0025,Official Law,2019-05-06,Sports Wagering Procurement Practices Reform Exemption Act of 2019,Permanent Bill
31,,Resolution,Committee on Health,,23,Approved,2019-03-09,http://lims.dccouncil.us/Download/41703/PR23-0078-Introduction.pdf,41703,2019-01-16,,PR23-0078,Deemed Approved,2019-05-01,"Not-For-Profit Hospital Corporation Board of Directors William A. Sherman, II Confirmation Resolution of 2019",Proposed Resolution
32,R23-0027,Resolution,Committee on Facilities and Procurement,,23,Approved,2019-04-09,http://lims.dccouncil.us/Download/41583/PR23-0061-Introduction.pdf,41583,2019-01-02,,PR23-0061,Approved,2019-04-22,Commission on Re-Entry and Returning Citizen Affairs John Matthews Confirmation Resolution of 2019,Proposed Resolution
33,R23-0026,Resolution,Committee on Facilities and Procurement,,23,Approved,2019-02-22,http://lims.dccouncil.us/Download/41559/PR23-0037-Introduction.pdf,41559,2019-01-02,,PR23-0037,Approved,2019-04-22,Commission on Re-Entry and Returning Citizen Affairs Larry Moon Confirmation Resolution of 2018,Proposed Resolution
34,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41670/B23-0070-Introduction.pdf,41670,2019-01-09,,B23-0070,Under Council Review,2019-04-18,Special Event Safety Certification Amendment Act of 2019,Permanent Bill
35,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41669/B23-0069-Introduction.pdf,41669,2019-01-09,,B23-0069,Under Council Review,2019-04-18,D.C. Official Code Title 49 Enactment Act of 2019,Permanent Bill
36,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41663/B23-0068-Introduction.pdf,41663,2019-01-08,,B23-0068,Under Council Review,2019-04-18,Bishop Sherman S. Howard Way Designation Act of 2019,Permanent Bill
37,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41662/B23-0067-Introduction.pdf,41662,2019-01-08,,B23-0067,Under Council Review,2019-04-18,Sexual Assault Victims' Rights Amendment Act of 2019,Permanent Bill
38,,Bill,Committee on Business and Economic Development,,23,,,http://lims.dccouncil.us/Download/41657/B23-0066-Introduction.pdf,41657,2019-01-08,,B23-0066,Under Council Review,2019-04-18,Nonprofit Incubator Program Establishment Act of 2019,Permanent Bill
39,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41656/B23-0065-Introduction.pdf,41656,2019-01-08,,B23-0065,Under Council Review,2019-04-18,Youth Mentoring Initiative Establishment Act of 2019,Permanent Bill
40,R23-0062,Resolution,Committee on Finance and Revenue,,23,Disapproved,2019-04-30,http://lims.dccouncil.us/Download/41681/PR23-0074-Introduction.pdf,41681,2019-01-11,,PR23-0074,Approved,2019-04-15,Commission on the Arts and Humanities Derek Younger Confirmation Resolution of 2019,Proposed Resolution
41,R23-0054,Resolution,Committee of the Whole,,23,Approved,2019-05-01,http://lims.dccouncil.us/Download/41608/PR23-0070-Introduction.pdf,41608,2019-01-07,,PR23-0070,Approved,2019-04-15,Director of the Office of Planning Andrew Trueblood Confirmation Resolution of 2019,Proposed Resolution
42,R23-0031,Resolution,Committee on Education and Committee of the Whole,,23,Approved,2019-04-09,http://lims.dccouncil.us/Download/41602/PR23-0067-Introduction.pdf,41602,2019-01-07,,PR23-0067,Approved,2019-04-10,Chancellor of the District of Columbia Public Schools Dr. Lewis D. Ferebee Confirmation Resolution of 2019,Proposed Resolution
43,,Resolution,Committee on Government Operations,,23,Disapproved,2019-02-21,http://lims.dccouncil.us/Download/41571/PR23-0049-Introduction.pdf,41571,2019-01-02,,PR23-0049,Deemed Disapproved,2019-04-10,District of Columbia Commission on Human Rights Mark Herzog Confirmation Resolution of 2018,Proposed Resolution
44,,Resolution,Committee on Human Services,,23,Approved,2019-01-23,http://lims.dccouncil.us/Download/41552/PR23-0032-Introduction.pdf,41552,2019-01-02,,PR23-0032,Deemed Approved,2019-04-10,Interagency Council on Homelessness Kelly McShane Confirmation Resolution of 2018,Proposed Resolution
45,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41655/B23-0064-Introduction.pdf,41655,2019-01-08,,B23-0064,Under Council Review,2019-04-10,Commission on Literacy Act of 2019,Permanent Bill
46,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41654/B23-0063-Introduction.pdf,41654,2019-01-08,,B23-0063,Under Council Review,2019-04-10,Joy Evans Therapeutic Recreation Center Designation Act of 2019,Permanent Bill
47,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41653/B23-0062-Introduction.pdf,41653,2019-01-08,,B23-0062,Under Council Review,2019-04-10,Executive Branch Budget Implementation Flexibility Amendment Act of 2019,Permanent Bill
48,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41652/B23-0061-Introduction.pdf,41652,2019-01-08,,B23-0061,Under Council Review,2019-04-10,Senior Citizen Tax Cap Transfer Act of 2019,Permanent Bill
49,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41651/B23-0060-Introduction.pdf,41651,2019-01-08,,B23-0060,Under Council Review,2019-04-10,Pension Exclusion Restoration and Expansion Act of 2019,Permanent Bill
50,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41649/B23-0058-Introduction.pdf,41649,2019-01-08,,B23-0058,Under Council Review,2019-04-10,Police Officer Family College Tuition Voucher Act of 2019,Permanent Bill
51,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41648/B23-0057-Introduction.pdf,41648,2019-01-08,,B23-0057,Under Council Review,2019-04-10,D.C. Statehood Federal District Electoral College Clarification Act of 2019,Permanent Bill
52,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41647/B23-0056-Introduction.pdf,41647,2019-01-08,,B23-0056,Under Council Review,2019-04-10,Senior Citizen Real Property Tax Relief Amendment Act of 2019,Permanent Bill
53,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41646/B23-0055-Introduction.pdf,41646,2019-01-08,,B23-0055,Under Council Review,2019-04-10,Tax on Wellness Repeal Act of 2019,Permanent Bill
54,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41645/B23-0054-Introduction.pdf,41645,2019-01-08,,B23-0054,Under Council Review,2019-04-10,Opioid Overdose Prevention Act of 2019,Permanent Bill
55,,Bill,Committee on Housing and Neighborhood Revitalization,,23,,,http://lims.dccouncil.us/Download/41644/B23-0053-Introduction.pdf,41644,2019-01-08,,B23-0053,Under Council Review,2019-04-10,Babies Safe at Home Act of 2019,Permanent Bill
56,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41643/B23-0052-Introduction.pdf,41643,2019-01-08,,B23-0052,Under Council Review,2019-04-10,Micro-Business Startup Fee Relief Amendment Act of 2019,Permanent Bill
57,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41634/B23-0043-Introduction.pdf,41634,2019-01-08,,B23-0043,Under Council Review,2019-04-09,Rainy Day Refund Act of 2019,Permanent Bill
58,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41633/B23-0042-Introduction.pdf,41633,2019-01-08,,B23-0042,Under Council Review,2019-04-09,Substandard Construction Relief Amendment Act of 2019,Permanent Bill
59,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41632/B23-0041-Introduction.pdf,41632,2019-01-08,,B23-0041,Under Council Review,2019-04-09,Taxpayer Advocate Act of 2019,Permanent Bill
60,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41631/B23-0040-Introduction.pdf,41631,2019-01-08,,B23-0040,Under Council Review,2019-04-09,Record Sealing Modernization Amendment Act of 2019,Permanent Bill
61,,Bill,Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41627/B23-0037-Introduction.pdf,41627,2019-01-08,,B23-0037,Under Council Review,2019-04-09,Care for LGBTQ Seniors and Seniors with HIV Amendment Act of 2019,Permanent Bill
62,,Bill,Committee on Business and Economic Development,,23,,,http://lims.dccouncil.us/Download/41626/B23-0036-Introduction.pdf,41626,2019-01-08,,B23-0036,Under Council Review,2019-04-09,Pre-exposure Prophylaxis Insurance Discrimination Amendment Act of 2019,Permanent Bill
63,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41625/B23-0035-Introduction.pdf,41625,2019-01-08,,B23-0035,Under Council Review,2019-04-09,False Claims Amendment Act of 2019,Permanent Bill
64,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41624/B23-0034-Introduction.pdf,41624,2019-01-08,,B23-0034,Under Council Review,2019-04-09,Elephant Ivory and Rhinoceros Horn Trafficking Prohibition Act of 2019,Permanent Bill
65,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41623/B23-0033-Introduction.pdf,41623,2019-01-08,,B23-0033,Under Council Review,2019-04-09,Temporary Protection Order Firearm Relinquishment Amendment Act of 2019,Permanent Bill
66,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41641/B23-0050-Introduction.pdf,41641,2019-01-08,,B23-0050,Under Council Review,2019-04-09,District Promise Scholarship Program Amendment Act of 2019,Permanent Bill
67,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41640/B23-0049-Introduction.pdf,41640,2019-01-08,,B23-0049,Under Council Review,2019-04-09,Classroom Innovation Grant Program Act of 2019,Permanent Bill
68,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41638/B23-0047-Introduction.pdf,41638,2019-01-08,,B23-0047,Under Council Review,2019-04-09,Sexual Misconduct Sunshine Amendment Act of 2019,Permanent Bill
69,,Bill,Committee on Health and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41636/B23-0045-Introduction.pdf,41636,2019-01-08,,B23-0045,Under Council Review,2019-04-09,Bedbug Control Act of 2019,Permanent Bill
70,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41635/B23-0044-Introduction.pdf,41635,2019-01-08,,B23-0044,Under Council Review,2019-04-09,Alimony Justice for Injured Spouses Amendment Act of 2019,Permanent Bill
71,,Oversight Hearing Record,Committee on Labor and Workforce Development,,23,,,,42291,2019-01-29,,HR23-0043,Under Council Review,2019-04-08,"Oversight Roundtable - Implementation of Law 21-264, The Universal Paid Leave Act",Oversight Hearing Record
72,A23-0022,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41747/B23-0099-Introduction.pdf,41747,2019-01-31,,B23-0099,Enacted,2019-04-08,Small and Certified Business Enterprise Development and Assistance Emergency Amendment Act of 2019,Emergency Bill
73,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41622/B23-0032-Introduction.pdf,41622,2019-01-08,,B23-0032,Under Council Review,2019-04-05,Delegate Voting Rights Amendment Act of 2019,Permanent Bill
74,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41620/B23-0030-Introduction.pdf,41620,2019-01-08,,B23-0030,Under Council Review,2019-04-05,Amplified Noise Amendment Act of 2019,Permanent Bill
75,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41619/B23-0029-Introduction.pdf,41619,2019-01-08,,B23-0029,Under Council Review,2019-04-05,Residential Real Property Tax Relief Act of 2019,Permanent Bill
76,,Bill,Committee on Transportation and the Environment,,23,,,http://lims.dccouncil.us/Download/41618/B23-0028-Introduction.pdf,41618,2019-01-08,,B23-0028,Under Council Review,2019-04-05,The Foreign Mission Trash Collection Amendment Act of 2019,Permanent Bill
77,,Bill,Committee on Business and Economic Development,,23,,,http://lims.dccouncil.us/Download/41617/B23-0027-Introduction.pdf,41617,2019-01-08,,B23-0027,Under Council Review,2019-04-05,Theaters Summer Garden and Sidewalk Café Amendment Act of 2019,Permanent Bill
78,,Bill,Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41616/B23-0026-Introduction.pdf,41616,2019-01-08,,B23-0026,Under Council Review,2019-04-05,Bike Valet Grant Program Act of 2019,Permanent Bill
79,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41613/B23-0024-Introduction.pdf,41613,2019-01-07,,B23-0024,Under Council Review,2019-04-05,Washington Area Professional Football team Franchise Facility Interstate Compact Establishment Act of 2019,Permanent Bill
80,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41612/B23-0023-Introduction.pdf,41612,2019-01-07,,B23-0023,Under Council Review,2019-04-05,Crowdy Court Designation Act of 2019,Permanent Bill
81,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41600/B23-0017-Introduction.pdf,41600,2019-01-07,,B23-0017,Under Council Review,2019-04-05,Natural Disaster Consumer Protection Amendment Act of 2019,Permanent Bill
82,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41599/B23-0016-Introduction.pdf,41599,2019-01-07,,B23-0016,Under Council Review,2019-04-05,Second Chance Amendment Act of 2019,Permanent Bill
83,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41598/B23-0015-Introduction.pdf,41598,2019-01-07,,B23-0015,Under Council Review,2019-04-05,Landlord Transparency Amendment Act of 2019,Permanent Bill
84,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41597/B23-0014-Introduction.pdf,41597,2019-01-07,,B23-0014,Under Council Review,2019-04-05,Landlord Accountability through Expedited Receivership Amendment Act of 2019,Permanent Bill
85,,Bill,Committee on Judiciary and Public Safety and Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41558/B23-0005-Introduction.pdf,41558,2019-01-03,,B23-0005,Under Council Review,2019-04-04,Criminal Record Accuracy Assurance Act of 2019,Permanent Bill
86,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41557/B23-0004-Introduction.pdf,41557,2019-01-02,,B23-0004,Under Council Review,2019-04-04,Sexual Assault Victims' Rights Amendment Act of 2019,Permanent Bill
87,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41781/B23-0110-Introduction.pdf,41781,2019-01-31,,B23-0110,Under Council Review,2019-04-01,Bryant Street Tax Increment Financing Amendment Act of 2019,Permanent Bill
88,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41719/B23-0087-Introduction.pdf,41719,2019-01-22,,B23-0087,Under Council Review,2019-04-01,Park 7 at Minnesota-Benning Tax Abatement Act of 2019,Permanent Bill
89,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41706/B23-0077-Introduction.pdf,41706,2019-01-17,,B23-0077,Under Council Review,2019-04-01,Washington Parks & People Equitable Real Property Tax Relief Act of 2019,Permanent Bill
90,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41705/B23-0076-Introduction.pdf,41705,2019-01-17,,B23-0076,Under Council Review,2019-04-01,14th Street International House of Pancakes Real Property Tax Exemption Act of 2019,Permanent Bill
91,,Resolution,Committee on Health,,23,Approved,2019-03-21,http://lims.dccouncil.us/Download/41730/PR23-0082-Introduction.pdf,41730,2019-01-23,,PR23-0082,Deemed Approved,2019-03-26,Medical Marijuana Clone Rulemaking Approval Resolution of 2019,Proposed Resolution
92,,Resolution,Committee on Human Services,,23,Approved,2019-03-24,http://lims.dccouncil.us/Download/41682/PR23-0075-Introduction.pdf,41682,2019-01-11,,PR23-0075,Deemed Approved,2019-03-26,Interagency Council on Homelessness Sue Ann Marshall Confirmation Resolution of 2019,Proposed Resolution
93,R23-0048,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41746/PR23-0085-Introduction.pdf,41746,2019-01-31,,PR23-0085,Approved,2019-03-19,Small and Certified Business Enterprise Development and Assistance Emergency Declaration Resolution of 2019,Emergency Declaration Resolution
94,R23-0047,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41722/PR23-0081-Introduction.pdf,41722,2019-01-22,,PR23-0081,Approved,2019-03-19,Sense of the Council Urging the Federal Government to Prevent Nuclear War Resolution of 2019,Proposed Resolution
95,R23-0032,Resolution,Committee on Transportation and the Environment,,23,Approved,2019-03-29,http://lims.dccouncil.us/Download/41582/PR23-0060-Introduction.pdf,41582,2019-01-02,,PR23-0060,Approved,2019-03-19,Food Policy Director Ona Balkus Confirmation Resolution of 2018,Proposed Resolution
96,R23-0030,Resolution,Committee on Government Operations,,23,Approved,2019-05-01,http://lims.dccouncil.us/Download/41609/PR23-0071-Introduction.pdf,41609,2019-01-07,,PR23-0071,Approved,2019-03-19,Chief Technology Officer Lindsey Parker Confirmation Resolution of 2019,Proposed Resolution
97,,Resolution,Committee on Health,,23,Approved,2019-03-07,http://lims.dccouncil.us/Download/41708/PR23-0079-Introduction.pdf,41708,2019-01-18,,PR23-0079,Deemed Approved,2019-03-13,Medical Marijuana Testing Laboratory Rulemaking Approval Resolution of 2019,Proposed Resolution
98,,Resolution,Committee on Health,,23,Approved,2019-03-09,http://lims.dccouncil.us/Download/41701/PR23-0077-Introduction.pdf,41701,2019-01-16,,PR23-0077,Deemed Approved,2019-03-13,Board of Medicine Konrad Dawson Confirmation Resolution of 2019,Proposed Resolution
99,,Bill,Committee on Housing and Neighborhood Revitalization,,23,,,http://lims.dccouncil.us/Download/41702/B23-0074-Introduction.pdf,41702,2019-01-16,,B23-0074,Under Council Review,2019-03-12,Low Income Housing Tax Credit TOPA Exemption for Transfers of Interest Act of 2019,Permanent Bill
100,,Bill,Committee on Business and Economic Development,,23,,,http://lims.dccouncil.us/Download/41707/B23-0078-Introduction.pdf,41707,2019-01-18,,B23-0078,Under Council Review,2019-03-12,Corner Store Limited Exception Amendment Act of 2019,Permanent Bill
101,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41726/B23-0093-Introduction.pdf,41726,2019-01-22,,B23-0093,Under Council Review,2019-03-12,Marion S. Barry Building Designation Act of 2019,Permanent Bill
102,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41724/B23-0091-Introduction.pdf,41724,2019-01-22,,B23-0091,Under Council Review,2019-03-12,Department of Buildings Establishment Act of 2019,Permanent Bill
103,,Bill,Committee on Labor and Workforce Development,,23,,,http://lims.dccouncil.us/Download/41723/B23-0090-Introduction.pdf,41723,2019-01-22,,B23-0090,Under Council Review,2019-03-12,Commission on Poverty in the District of Columbia Establishment Act of 2019,Permanent Bill
104,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41720/B23-0088-Introduction.pdf,41720,2019-01-22,,B23-0088,Under Council Review,2019-03-12,Downs Way Designation Act of 2019,Permanent Bill
105,,Bill,Committee on Housing and Neighborhood Revitalization and Committee on Business and Economic Development,,23,,,http://lims.dccouncil.us/Download/41717/B23-0085-Introduction.pdf,41717,2019-01-22,,B23-0085,Under Council Review,2019-03-12,Housing Voucher Utility Disconnection Amendment Act of 2019,Permanent Bill
106,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41716/B23-0084-Introduction.pdf,41716,2019-01-22,,B23-0084,Under Council Review,2019-03-12,School Sunscreen Safety Amendment Act of 2019,Permanent Bill
